"Brand","Model","Year","Price","Category"
"Hyundai","VENUE","2024","23581","Crossover-SUV"
"Hyundai","KONA","2024","28931","Crossover-SUV"
"Hyundai","TUCSON","2024","37181","Crossover-SUV"
"Hyundai","SANTA FE","2024","43727","Crossover-SUV"
"Hyundai","SANTA CRUZ","2024","43481","Crossover-SUV"
"Hyundai","PALISADE","2024","53231","Crossover-SUV"
"Hyundai","IONIQ 5","2024","57677","Crossover-SUV"
"Hyundai","IONIQ 5 N","2024","80877","Crossover-SUV"
"Hyundai","KONA Electric","2024","49177","Crossover-SUV"
"Hyundai","IONIQ 6","2024","57677","Crossover-SUV"
"Hyundai","ELANTRA","2024","24506","Crossover-SUV"
"Hyundai","ELANTRA N","2024","41906","Crossover-SUV"
"Hyundai","SONATA","2024","35256","Crossover-SUV"
"Hyundai","IONIQ 6","2024","57677","Compact-Sedan"
"Hyundai","ELANTRA","2024","24506","Compact-Sedan"
"Hyundai","ELANTRA N","2024","41906","Compact-Sedan"
"Hyundai","SONATA","2024","35256","Compact-Sedan"
"Hyundai","TUCSON","2025","37181","Hybrid-Electric"
"Hyundai","IONIQ 5","2025","57677","Hybrid-Electric"
"Hyundai","IONIQ 5 N","2025","80877","Hybrid-Electric"
"Hyundai","KONA Electric","2025","49177","Hybrid-Electric"
"Hyundai","IONIQ 6","2025","57677","Hybrid-Electric"
"Hyundai","ELANTRA","2025","24506","Hybrid-Electric"
