Model,year,Price,category
GR86,2024,"$35,345.08",Cars
GR Corolla,2024,"$49,745.08",Cars
GR Supra,2024,"$61,105.08",Cars
Prius,2024,"$40,645.08",Cars
Prius Prime,2024,"$42,545.08",Cars
Corolla Hatchback,2025,"$26,970.08",Cars
Corolla,2024,"$26,385.08",Cars
Camry,2025,"$37,295.08",Cars
Crown,2025,"$57,382.08",Cars
Corolla Cross,2024,"$30,715.08",SUV's & Minivans
RAV4,2024,"$36,215.08",SUV's & Minivans
RAV4 Prime,2024,"$54,215.08",SUV's & Minivans
Venza,2024,"$45,615.08",SUV's & Minivans
Highlander,2024,"$49,855.08",SUV's & Minivans
Grand Highlander,2024,"$53,555.08",SUV's & Minivans
Sienna,2024,"$48,015.08",SUV's & Minivans
4Runner,2024,"$56,455.08",SUV's & Minivans
Land Cruiser,2024,"$72,355.08",SUV's & Minivans
Sequoia,2024,"$83,525.08",SUV's & Minivans
Tacoma,2024,"$50,015.08",Truck
Tundra,2024,"$54,515.08",Truck
